Title:,Frontier Basin Ranking - S&P 2024
Data Source:,S&P 2024

Basin Name,Region,YTF,Basin Size (sq km),Sediment Thickness (km),YTF Score,Basin Size Score,Sediment Thickness Score,Total Score
Bengal Bay,APAC,403.8,350105,16,2,3,3,8
Colorado,AME,0,152619,16,2,2,3,7
Orphan,AME,0,163708,10,2,2,3,7
Banda Forearc,APAC,0,129019,12,2,2,3,7
Kerala-Konkan,APAC,0,372270,5.5,2,3,2,7
Greater Pelotas,AME,0,914554,8,2,3,2,7
Phu Khanh,APAC,54.6,66729,14,2,1,3,6
Namibe,AFRICA,0,109590,7,2,2,2,6
Zambezi Delta,AFRICA,0,97034,14,2,1,3,6
Herodotus,MECA,0,78506,10,2,1,3,6
Batinah/Sohar,MECA,0,21022,10,2,1,3,6
Punta del Este(Rio Salado Main),AME,0,118560,6,2,2,2,6
Luderitz,AFRICA,0,121721,9,2,2,2,6
Majunga,AFRICA,0,126641,7,2,2,2,6
Angoche,AFRICA,0,78496,10,2,1,3,6
Rawson,AME,0,43893,7,2,1,2,5
Durban,AFRICA,0,41908,7,2,1,2,5
Amapa Platform,AME,20.33,113339,5,2,2,1,5
Lariang,APAC,0,4169,3,2,1,1,4
Morant,AME,0,16341,5,2,1,1,4
Pedro Bank (including Walton),AME,0,34938,5,2,1,1,4
Mentawai-Bengkulu,APAC,0,98345,5,2,1,1,4
Limon,AME,0,25291,5,2,1,1,4
Karama,APAC,0,3890,3,2,1,1,4
Spermonde-Salayar,APAC,0,23780,3,2,1,1,4
SW Palawan,APAC,0,34136,2,2,1,1,4
Valdes,AME,0,57261,3,2,1,1,4
Bone,APAC,0,54604,5,2,1,1,4